x,y
0.084,-0.486
0.306,-0.798
0.1739999999999999,-0.5700000000000001
0.526,-0.5740000000000001
0.4259999999999999,-0.832
0.3859999999999999,-0.83
-0.522,-0.5660000000000001
0.088,-0.872
0.284,0.474
0.688,-0.424
0.1299999999999999,-0.5700000000000001
-0.26,0.692
0.288,0.4259999999999999
0.77,0.5660000000000001
0.3380000000000001,-0.77
0.1799999999999999,-0.798
-0.756,0.766
-0.808,0.8260000000000001
-0.4439999999999999,-0.618
0.716,-0.3299999999999999
-0.056,0.728
0.3720000000000001,0.728
-0.3399999999999999,0.73
-0.292,0.3799999999999999
-0.384,-0.85
-0.134,0.726
-0.43,-0.872
-0.802,0.768
0.74,-0.482
-0.044,-0.534
-0.3379999999999999,-0.85
-0.656,0.4259999999999999
-0.0799999999999999,-0.532
-0.18,0.732
0.25,0.69
-0.5920000000000001,-0.616
-0.126,-0.5720000000000001
-0.168,-0.528
-0.718,-0.654
0.326,-0.426
0.5900000000000001,0.3759999999999999
0.262,-0.798
0.4079999999999999,0.3779999999999999
-0.556,-0.654
-0.0859999999999999,0.322
-0.702,0.734
-0.3399999999999999,-0.872
-0.008,0.524
-0.0899999999999999,0.6200000000000001
-0.2059999999999999,0.2219999999999999
-0.6599999999999999,0.5700000000000001
-0.128,0.268
0.078,0.326
0.714,0.4199999999999999
0.5900000000000001,0.4219999999999999
-0.41,-0.53
-0.134,0.692
0.772,-0.526
-0.172,-0.8240000000000001
-0.692,-0.654
-0.746,0.524
-0.046,-0.87
0.5,-0.796
-0.37,-0.62
0.554,-0.43
0.4219999999999999,-0.776
0.5900000000000001,-0.43
0.1719999999999999,-0.434
0.518,-0.386
0.3360000000000001,-0.738
0.5640000000000001,-0.734
0.6279999999999999,-0.5720000000000001
0.2179999999999999,-0.852
-0.418,-0.792
-0.2139999999999999,0.5720000000000001
0.692,0.688
-0.554,-0.5640000000000001
-0.522,-0.53
0.556,0.6539999999999999
-0.424,-0.83
-0.298,0.5700000000000001
0.04,0.3799999999999999
0.554,-0.382
-0.174,-0.768
-0.128,-0.852
-0.5680000000000001,-0.8280000000000001
-0.294,-0.624
-0.756,-0.852
0.052,-0.528
0.1799999999999999,-0.85
-0.784,-0.85
0.554,-0.272
-0.3279999999999999,-0.484
0.25,-0.3359999999999999
-0.254,-0.8240000000000001
-0.732,-0.8280000000000001
0.25,-0.39
0.714,-0.426
0.6259999999999999,-0.486
-0.594,0.4259999999999999
0.1339999999999999,-0.77
0.1299999999999999,-0.43
-0.01,0.6559999999999999
0.25,0.6559999999999999
0.3740000000000001,0.69
0.296,-0.3379999999999999
0.6499999999999999,0.4199999999999999
0.3839999999999999,-0.802
0.292,0.3819999999999999
-0.554,0.3779999999999999
-0.3,-0.792
-0.128,0.32
-0.006,0.692
-0.042,-0.5700000000000001
