IDx,IDy,Posix,Posiy,accuracy
8,17,-0.554,-0.274,
8,18,-0.552,-0.2259999999999999,
8,19,-0.552,-0.164,
8,20,-0.552,-0.1059999999999999,
8,21,-0.554,-0.058,
8,22,-0.554,0.004,
8,23,-0.556,0.066,
8,24,-0.556,0.1060000000000001,
8,25,-0.556,0.1659999999999999,
8,26,-0.556,0.2239999999999999,
8,27,-0.554,0.27,
8,28,-0.554,0.326,
8,29,-0.554,0.3779999999999999,
8,30,-0.554,0.4259999999999999,
8,31,-0.556,0.478,
8,32,-0.556,0.528,
8,33,-0.558,0.5660000000000001,
8,34,-0.562,0.6140000000000001,
8,35,-0.562,0.6599999999999999,
8,36,-0.5640000000000001,0.692,
8,37,-0.5660000000000001,0.732,
8,38,-0.5700000000000001,0.768,
8,39,-0.5720000000000001,0.796,
8,40,-0.5740000000000001,0.8260000000000001,
8,41,-0.5760000000000001,0.8480000000000001,
8,42,-0.5800000000000001,0.8720000000000001,
8,43,-0.5823389273064599,0.8929151205936924,
8,44,-0.5831424715314013,0.9046420954412159,
9,0,-0.543176621906265,-0.907237658803267,
9,1,-0.543536371954356,-0.8950061571681709,
9,2,-0.54,-0.872,
9,3,-0.538,-0.85,
9,4,-0.536,-0.83,
9,5,-0.534,-0.796,
9,6,-0.53,-0.768,
9,7,-0.528,-0.738,
9,8,-0.522,-0.694,
9,9,-0.52,-0.656,
9,10,-0.522,-0.616,
9,11,-0.522,-0.5660000000000001,
9,12,-0.522,-0.53,
9,13,-0.52,-0.48,
9,14,-0.522,-0.43,
9,15,-0.52,-0.38,
9,16,-0.52,-0.3279999999999999,
9,17,-0.52,-0.272,
9,18,-0.516,-0.2239999999999999,
9,19,-0.518,-0.168,
9,20,-0.52,-0.1079999999999999,
9,21,-0.522,-0.056,
9,22,-0.522,0.002,
9,23,-0.52,0.064,
9,24,-0.52,0.1080000000000001,
9,25,-0.522,0.1659999999999999,
9,26,-0.522,0.2259999999999999,
9,27,-0.522,0.27,
9,28,-0.522,0.33,
9,29,-0.518,0.3799999999999999,
9,30,-0.518,0.4259999999999999,
9,31,-0.52,0.476,
9,32,-0.524,0.53,
9,33,-0.528,0.5680000000000001,
9,34,-0.53,0.6160000000000001,
9,35,-0.532,0.6599999999999999,
9,36,-0.534,0.692,
9,37,-0.536,0.732,
9,38,-0.538,0.766,
9,39,-0.542,0.792,
9,40,-0.542,0.8240000000000001,
9,41,-0.546,0.8500000000000001,
9,42,-0.548,0.8700000000000001,
9,43,-0.548817254174397,0.8926357733175918,
9,44,-0.5496552960026986,0.9049270534660149,
10,0,-0.5064821170009765,-0.9079571588994493,
10,1,-0.5050431168086121,-0.895725657264353,
10,2,-0.502,-0.87,
10,3,-0.5,-0.85,
10,4,-0.498,-0.8280000000000001,
10,5,-0.494,-0.796,
10,6,-0.492,-0.768,
10,7,-0.49,-0.734,
10,8,-0.488,-0.698,
10,9,-0.488,-0.6599999999999999,
10,10,-0.488,-0.616,
10,11,-0.484,-0.5700000000000001,
10,12,-0.486,-0.53,
10,13,-0.484,-0.48,
10,14,-0.482,-0.43,
10,15,-0.482,-0.38,
10,16,-0.482,-0.3299999999999999,
10,17,-0.484,-0.266,
10,18,-0.484,-0.2239999999999999,
10,19,-0.482,-0.166,
10,20,-0.486,-0.1099999999999999,
10,21,-0.48,-0.058,
10,22,-0.482,0.002,
10,23,-0.482,0.064,
10,24,-0.484,0.104,
10,25,-0.486,0.1659999999999999,
10,26,-0.486,0.2259999999999999,
10,27,-0.486,0.272,
10,28,-0.486,0.33,
10,29,-0.486,0.3839999999999999,
10,30,-0.486,0.4279999999999999,
10,31,-0.486,0.478,
10,32,-0.486,0.528,
10,33,-0.488,0.5660000000000001,
10,34,-0.492,0.6220000000000001,
10,35,-0.494,0.6559999999999999,
10,36,-0.498,0.692,
10,37,-0.5,0.734,
10,38,-0.5,0.762,
10,39,-0.502,0.792,
10,40,-0.506,0.8260000000000001,
10,41,-0.508,0.8500000000000001,
10,42,-0.512,0.8700000000000001,
10,43,-0.5141781919379322,0.8929151205936924,
10,44,-0.5155749283184348,0.906603137122618,
11,0,-0.46511086147050407,-0.9061584086589939,
11,1,-0.4643913613743219,-0.8968049074086263,
11,2,-0.4619999999999999,-0.87,
11,3,-0.4599999999999999,-0.85,
11,4,-0.4579999999999999,-0.8280000000000001,
11,5,-0.4539999999999999,-0.796,
11,6,-0.4499999999999999,-0.764,
11,7,-0.4479999999999999,-0.732,
11,8,-0.4459999999999999,-0.696,
11,9,-0.4459999999999999,-0.6599999999999999,
11,10,-0.4439999999999999,-0.618,
11,11,-0.4439999999999999,-0.5700000000000001,
11,12,-0.4439999999999999,-0.53,
11,13,-0.4439999999999999,-0.482,
11,14,-0.4419999999999999,-0.428,
11,15,-0.4419999999999999,-0.384,
11,16,-0.4439999999999999,-0.3319999999999999,
11,17,-0.4439999999999999,-0.274,
11,18,-0.4419999999999999,-0.2219999999999999,
11,19,-0.4439999999999999,-0.168,
11,20,-0.4419999999999999,-0.1079999999999999,
11,21,-0.4419999999999999,-0.056,
11,22,-0.4439999999999999,0.002,
11,23,-0.4439999999999999,0.064,
11,24,-0.4439999999999999,0.1060000000000001,
11,25,-0.4439999999999999,0.1679999999999999,
11,26,-0.4439999999999999,0.2239999999999999,
11,27,-0.4439999999999999,0.27,
11,28,-0.4439999999999999,0.3320000000000001,
11,29,-0.4479999999999999,0.3839999999999999,
11,30,-0.4479999999999999,0.4259999999999999,
11,31,-0.4479999999999999,0.476,
11,32,-0.4459999999999999,0.53,
11,33,-0.4459999999999999,0.5700000000000001,
11,34,-0.4459999999999999,0.6120000000000001,
11,35,-0.4519999999999999,0.6539999999999999,
11,36,-0.4539999999999999,0.692,
11,37,-0.4579999999999999,0.734,
11,38,-0.4599999999999999,0.766,
11,39,-0.4619999999999999,0.792,
11,40,-0.4679999999999999,0.8260000000000001,
11,41,-0.4679999999999999,0.8480000000000001,
11,42,-0.47,0.8700000000000001,
11,43,-0.4703279925962961,0.8929161667374275,
11,44,-0.47115871141845167,0.9046477061899143,
12,0,-0.4302151068056709,-0.906518158707085,
12,1,-0.4294956067094887,-0.8935671569758067,
12,2,-0.43,-0.872,
12,3,-0.426,-0.85,
12,4,-0.424,-0.83,
12,5,-0.418,-0.792,
12,6,-0.416,-0.766,
12,7,-0.41,-0.734,
